word,label,source,label_conflict
LGBTQ+,neutral,MCWC Accessible Gender and Sexual Orientation Inclusive Language,no
LGBTQIA+,neutral,MCWC Accessible Gender and Sexual Orientation Inclusive Language,no
a man's home is his castle,masculine,EIGE Toolkit on Gender-sensitive Communication (2019),no
aboriginal,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
aboriginals,neutral,Gender-Fair Language Primer — Kintanar (1998),no
absent-minded,masculine,Gender-Fair Language Primer — Kintanar (1998),no
accommodation,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
accountable,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
accurate,feminine,BIAS Word Inventory — Konnikov et al. (2022),no
active,masculine,"Gaucher, Friesen & Kay (2011)",no
actor,neutral,Gender-Fair Language Primer — Kintanar (1998),no
actress,feminine,Gender-Fair Language Primer — Kintanar (1998),no
adapt,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
additional hours,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
administrative,feminine,BIAS Word Inventory — Konnikov et al. (2022),no
administrative assistant,neutral,Gender-Fair Language Primer — Kintanar (1998),no
adult female,feminine,Gender-Fair Language Primer — Kintanar (1998),no
adulthood,neutral,Gender-Fair Language Primer — Kintanar (1998),no
adventurous,masculine,"Gaucher, Friesen & Kay (2011)",no
affectionate,feminine,"Gaucher, Friesen & Kay (2011)",no
after hours,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
agender,neutral,MCWC Accessible Gender and Sexual Orientation Inclusive Language,no
aggressive,masculine,"Gaucher, Friesen & Kay (2011)",no
artificial,neutral,UN Guidelines for gender-inclusive language in English,no
authoritative,neutral,UNESCO Gender-Neutral Guidelines|EIGE Toolkit on Gender-sensitive Communication (2019),no
alone,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
ambitious,masculine,"Gaucher, Friesen & Kay (2011)",no
goal-oriented,neutral,LinkedIn Talent Solutions / Cpl HR,no
analytical,masculine,"Gaucher, Friesen & Kay (2011)",no
ancestor,neutral,Gender-Fair Language Primer — Kintanar (1998),no
anchor,neutral,Gender-Fair Language Primer — Kintanar (1998),no
anchorman,masculine,Gender-Fair Language Primer — Kintanar (1998),no
anchorperson,neutral,Gender-Fair Language Primer — Kintanar (1998),no
artisan,neutral,Gender-Fair Language Primer — Kintanar (1998),no
asexual,neutral,MCWC Accessible Gender and Sexual Orientation Inclusive Language,no
asian,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
aspiring actor,neutral,Gender-Fair Language Primer — Kintanar (1998),no
assertive,masculine,"Gaucher, Friesen & Kay (2011)",no
athlete,neutral,Gender-Fair Language Primer — Kintanar (1998),no
athletic,masculine,"Gaucher, Friesen & Kay (2011)",no
attentive,feminine,BIAS Word Inventory — Konnikov et al. (2022),no
auntie,feminine,BUCGAD Feedback | Gender-Fair Language Primer – Kintanar (1998),no
authentic,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
author,neutral,Gender-Fair Language Primer — Kintanar (1998),no
authoress,feminine,Gender-Fair Language Primer — Kintanar (1998),no
autonomous,masculine,"Gaucher, Friesen & Kay (2011)",no
available,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
average person,neutral,Gender-Fair Language Primer — Kintanar (1998),no
aviator,neutral,Gender-Fair Language Primer — Kintanar (1998),no
aviatrix,feminine,Gender-Fair Language Primer — Kintanar (1998),no
bachelor girl,feminine,Gender-Fair Language Primer — Kintanar (1998),no
bag ladies,feminine,Gender-Fair Language Primer — Kintanar (1998),no
bend,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
benevolent sexism,feminine,"The Gender Dictionary – English Version (UNDP WACA, 2024)",no
best,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
best man for the job,masculine,EIGE Toolkit on Gender-sensitive Communication (2019),no
bilingual,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
bisexual,neutral,MCWC Accessible Gender and Sexual Orientation Inclusive Language,no
boast,masculine,"Gaucher, Friesen & Kay (2011)",no
bonus,feminine,BIAS Word Inventory — Konnikov et al. (2022),no
bossy,feminine,EIGE Toolkit on Gender-sensitive Communication (2019),no
direct,neutral,UNESCO Gender-Neutral Guidelines|EIGE Toolkit on Gender-sensitive Communication (2019),no
decisive,neutral,UNESCO Gender-Neutral Guidelines|EIGE Toolkit on Gender-sensitive Communication (2019),no
boys and girls,neutral,Gender-Fair Language Primer — Kintanar (1998),no
brotherhood,masculine,EIGE Toolkit on Gender-sensitive Communication (2019),no
brotherhood of man,masculine,Gender-Fair Language Primer — Kintanar (1998),no
bunny,feminine,Gender-Fair Language Primer — Kintanar (1998),no
busboys,masculine,Gender-Fair Language Primer — Kintanar (1998),no
business executive,neutral,Gender-Fair Language Primer — Kintanar (1998),no
business owner,neutral,Gender-Fair Language Primer — Kintanar (1998),no
businessman,masculine,Gender-Fair Language Primer — Kintanar (1998),no
busy,neutral,BIAS Word Inventory — Konnikov et al. (2022),no
call outs,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
calm,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
camera operator,neutral,Gender-Fair Language Primer — Kintanar (1998),no
cameraman,masculine,Gender-Fair Language Primer — Kintanar (1998),no
can-do,masculine,BIAS Word Inventory — Konnikov et al. (2022),no
career girls,feminine,Gender-Fair Language Primer — Kintanar (1998),no
career women,neutral,Gender-Fair Language Primer — Kintanar (1998),no
caring,feminine,BIAS Word Inventory — Konnikov et al. (2022),no
cautious,masculine,Gender-Fair Language Primer — Kintanar (1998),no
chair,neutral,Gender-Fair Language Primer — Kintanar (1998),no
chairman,masculine,Gender-Fair Language Primer — Kintanar (1998),no
